Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSC001,Chrome 81.0.4044.138,,,2020-05-09 09:18:15,2020-05-09 09:19:08,52.666s,PASSED
,,,,,,,
Test Cases/TC001_First User,Chrome 81.0.4044.138,,,2020-05-09 09:18:16,2020-05-09 09:18:57,41.035s,PASSED
"openBrowser(""https://lifecharger.org/"")",Chrome 81.0.4044.138,,,2020-05-09 09:18:16,2020-05-09 09:18:43,26.777s,PASSED
"click(findTestObject(""OR_TC001/Page_Life Charger   a new beginning/a_Archives""))",Chrome 81.0.4044.138,,,2020-05-09 09:18:43,2020-05-09 09:18:49,6.012s,PASSED
"click(findTestObject(""OR_TC001/Page_Archives  Life Charger/a_Books I am reading""))",Chrome 81.0.4044.138,,,2020-05-09 09:18:49,2020-05-09 09:18:52,3.270s,PASSED
"click(findTestObject(""OR_TC001/Page_Books I am reading  Life Charger/a_About""))",Chrome 81.0.4044.138,,,2020-05-09 09:18:52,2020-05-09 09:18:56,3.178s,PASSED
closeBrowser(),Chrome 81.0.4044.138,,,2020-05-09 09:18:56,2020-05-09 09:18:57,1.086s,PASSED
,,,,,,,
Test Cases/TC002_Second User,Chrome 81.0.4044.138,,,2020-05-09 09:18:57,2020-05-09 09:19:08,10.814s,PASSED
"openBrowser(""https://www.katalon.com/"")",Chrome 81.0.4044.138,,,2020-05-09 09:18:57,2020-05-09 09:19:07,9.591s,PASSED
closeBrowser(),Chrome 81.0.4044.138,,,2020-05-09 09:19:07,2020-05-09 09:19:08,0.912s,PASSED
